Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,RASTERVALU
Aatl,-51.3333,50.358334,OBIS, , ,1236364,3494.45998855,-51.2916666667,50.375,57.9437551496,2
Aatl,-59.55242,46.57034,OBIS, , ,1322945,3292.32907593,-59.5416666667,46.5416666667,165.491198371,2
Aatl,-62.156,47.54375,OBIS, , ,1299853,2345.22228153,-62.125,47.5416666667,95.6566734494,2
Aatl,-64.80925,42.95367,OBIS, , ,1412691,1525.44794636,-64.7916666667,42.9583333333,70.1408509411,2
Aatl,-62.3555,47.99634,OBIS, , ,1290557,4469.69305247,-62.375,47.9583333333,-160.984053809,2
Aatl,-51.21,50.06,OBIS, , ,1243927,2042.7080857,-51.2083333333,50.0416666667,176.649339209,2
Aatl,-51.6333,46.466667,OBIS, , ,1325001,1124.57090612,-51.625,46.4583333333,145.45967762,2
Aatl,-53.58,52.07,OBIS, , ,1200959,4105.18705901,-53.5416666667,52.0416666667,140.155618359,2
Aatl,-65.6415,42.13767,OBIS, , ,1435482,1960.02149692,-65.625,42.125,135.885554038,2
Aatl,-64.3125,49.5872,OBIS, , ,1253314,4465.7114657,-64.2916666667,49.625,19.6983281781,2
Aatl,-65.3222,49.6602,OBIS, , ,1253302,4493.40770365,-65.2916666667,49.625,150.596195327,2
Aatl,-68.4,48.97,OBIS, , ,1268312,2243.76214328,-68.375,48.9583333333,125.317601222,2
Aatl,-63.94842,48.14309,OBIS, , ,1286848,2142.54537368,-63.9583333333,48.125,-159.851848909,2
Aatl,-65.91,50.16,OBIS, , ,1241847,4627.73879185,-65.875,50.125,147.259558297,2
Aatl,-57.5933,50.42,OBIS, , ,1234491,4822.24275421,-57.625,50.4583333333,-27.827484409,2
Aatl,-60.8917,61.0,OBIS, , ,994762,4729.89208318,-60.875,61.0416666667,10.9988297592,2
Aatl,19.545,76.763336,OBIS, , ,609121,3163.8379194,19.5416666667,76.7916666667,-1.54051083971,2
Aatl,-68.5,71.227,OBIS, , ,816576,2565.47980709,-68.4583333333,71.2083333333,144.256827464,2
Aatl,-57.4143,50.7882,OBIS, , ,1227276,2797.9122371,-57.375,50.7916666667,82.0622608521,2
Aatl,-62.53883,46.94975,OBIS, , ,1313235,978.335417378,-62.5416666667,46.9583333333,-12.7498237255,2
Aatl,-63.2667,49.233334,OBIS, , ,1262753,3322.4491371,-63.2916666667,49.2083333333,-146.800550258,2
Aatl,-63.43,49.88,OBIS, , ,1247615,2111.10532261,-63.4583333333,49.875,-105.262992451,2
Aatl,-13.35000038,80.30999756,OBIS, , ,472718,2100.21764551,-13.375,80.2916666667,-167.045266625,2
Aatl,-64.06417,47.30267,OBIS, , ,1305534,2096.02069539,-64.0416666667,47.2916666667,125.698433892,2
Aatl,-55.44,50.42,OBIS, , ,1234507,4458.57162052,-55.4583333333,50.4583333333,-16.9774754751,2
Aatl,-67.97442,61.07638,OBIS, , ,994677,3964.47679211,-67.9583333333,61.0416666667,167.334168158,2
Aatl,-59.1643,49.4613,OBIS, , ,1257144,2868.12870766,-59.125,49.4583333333,96.5909806614,2
Aatl,-54.016667,52.033333,OBIS, , ,1200953,1950.06305714,-54.0416666667,52.0416666667,-61.597701708,2
Aatl,-65.51,49.59,OBIS, , ,1253299,4515.76164078,-65.5416666667,49.625,-30.4419080106,2
Aatl,-59.917,49.3482,OBIS, , ,1259025,4230.71016986,-59.9583333333,49.375,-45.1937586596,2
Aatl,-70.838,71.731,OBIS, , ,800194,2841.85835107,-70.875,71.7083333333,-152.853917668,2
Aatl,-54.42,54.68,OBIS, , ,1143513,4007.14570317,-54.4583333333,54.7083333333,-38.0694477287,2
Aatl,-60.7132,50.1187,OBIS, , ,1241909,782.426446243,-60.7083333333,50.125,26.4097702434,2
Aatl,-62.66292,47.354,OBIS, , ,1303649,3695.35073408,-62.625,47.375,50.8027187235,2
Aatl,-59.4,57.2,OBIS, , ,1082861,1773.21280629,-59.375,57.2083333333,58.4315604738,2
Aatl,-61.7333,49.450001,OBIS, , ,1257113,2033.61032826,-61.7083333333,49.4583333333,62.8807341369,2
Aatl,-58.2917,50.4932,OBIS, , ,1234483,3878.50667311,-58.2916666667,50.4583333333,179.965032251,2
Aatl,-55.45,50.68,OBIS, , ,1229075,3206.39688309,-55.4583333333,50.7083333333,-10.5785406371,2
Aatl,-54.14,45.55,OBIS, , ,1346952,1493.33378346,-54.125,45.5416666667,128.326434977,2
Aatl,-58.22792,44.18692,OBIS, , ,1380016,2848.3240453,-58.2083333333,44.2083333333,33.3401921584,2
Aatl,-62.80242,48.02034,OBIS, , ,1288713,2503.27846484,-62.7916666667,48.0416666667,18.6816686805,2
Aatl,-64.7958,49.898,OBIS, , ,1247604,2575.40531456,-64.7916666667,49.875,173.375356328,2
Aatl,-48.9833,47.950001,OBIS, , ,1290650,2082.25980521,-48.9583333333,47.9583333333,63.5716381832,2
Aatl,-62.213,46.86117,OBIS, , ,1315161,1578.090159,-62.2083333333,46.875,13.0283906157,2
Aatl,-69.81,47.69,OBIS, , ,1296052,2459.38194371,-69.7916666667,47.7083333333,34.0156336984,2
Aatl,-64.13059,47.22159,OBIS, , ,1307441,1533.43487472,-64.125,47.2083333333,163.967903277,2
Aatl,-56.05,54.73,OBIS, , ,1143494,2470.95562652,-56.0416666667,54.7083333333,167.444579821,2
Aatl,-63.93833,47.2295,OBIS, , ,1307443,2798.79525892,-63.9583333333,47.2083333333,-147.216575469,2
Aatl,-47.7,45.98,OBIS, , ,1336967,2493.37350799,-47.7083333333,45.9583333333,-164.983838268,2
Aatl,-69.35,48.12,OBIS, , ,1286819,1942.47491648,-69.375,48.125,-73.3592640239,2
Aatl,-61.92492,46.94792,OBIS, , ,1313242,2794.56173737,-61.9583333333,46.9583333333,-65.5156454939,2
