Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,-4.623548936,54.06965496,1159449,3116.71511205,-4.625,54.0416666667,1
Dcon,-69.94689941,41.79589844,1444683,1060.23869384,-69.9583333333,41.7916666667,1
Dcon,-6.413488,58.092419,1060666,4279.83468605,-6.375,58.125,1
Dcon,-5.389222,58.033928,1062769,1203.60936911,-5.375,58.0416666667,1
Dcon,-2.001566,55.743379,1120056,4644.71432621,-2.04166666667,55.7083333333,1
Dcon,-5.686201,55.957779,1113939,1383.76993093,-5.70833333333,55.9583333333,1
Dcon,-2.564615,50.438472,1235125,2745.51519213,-2.54166666667,50.4583333333,1
Dcon,-6.25444,56.74888,1095674,5057.54588668,-6.29166666667,56.7083333333,1
Dcon,-5.478182,55.424362,1126120,3985.25314414,-5.45833333333,55.4583333333,1
Dcon,-5.025526,55.706101,1120053,1044.65739862,-5.04166666667,55.7083333333,1
Dcon,-2.166645,57.090878,1085552,4561.50489878,-2.125,57.125,1
Dcon,-3.51214,57.710742,1071198,1780.43729533,-3.54166666667,57.7083333333,1
Dcon,-4.886498,55.979124,1113947,2423.64497289,-4.875,55.9583333333,1
Dcon,-6.390746,52.231237,1198065,2766.40120108,-6.375,52.2083333333,1
Dcon,-6.332932,53.758152,1164962,4616.92883131,-6.29166666667,53.7916666667,1
Dcon,-3.444811,56.004459,1111896,4227.72330411,-3.45833333333,56.0416666667,1
Dcon,-62.38,44.91,1363081,3909.54127446,-62.375,44.875,1
Dcon,-6.287501,58.456435,1052390,322.251278751,-6.29166666667,58.4583333333,1
Dcon,1.44737,51.37828,1215514,846.092758792,1.45833333333,51.375,1
Dcon,-9.438413,51.424536,1213629,4007.15864455,-9.45833333333,51.4583333333,1
Dcon,7.002471,58.02831,1062901,2752.19490519,7.04166666667,58.0416666667,1
Dcon,-5.793496,55.414979,1128150,4452.40261293,-5.79166666667,55.375,1
Dcon,-5.365175,50.21122,1240656,771.349329091,-5.375,50.2083333333,1
Dcon,-8.572565,57.818833,1069061,3539.64092517,-8.54166666667,57.7916666667,1
Dcon,-5.774019,56.854283,1091650,2545.74208309,-5.79166666667,56.875,1
Dcon,-3.722755,58.606387,1048308,2236.26583827,-3.70833333333,58.625,1
Dcon,-6.481766,57.280567,1081462,1877.45899603,-6.45833333333,57.2916666667,1
Dcon,-6.127351,55.584028,1122065,4564.00818496,-6.125,55.625,1
Dcon,-6.716119,57.811699,1069082,2278.60513417,-6.70833333333,57.7916666667,1
Dcon,-5.636549,57.128085,1085551,779.289446367,-5.625,57.125,1
Dcon,-4.899952,56.158586,1109838,4048.54023477,-4.875,56.125,1
Dcon,-5.099666,54.625392,1146019,1636.88632356,-5.125,54.625,1
Dcon,-5.102834,50.4884,1235111,3696.23415412,-5.125,50.4583333333,1
Dcon,-4.133615461,52.44332617,1192928,1769.67941564,-4.125,52.4583333333,1
Dcon,1.284673,51.113107,1220838,1410.81159169,1.29166666667,51.125,1
Dcon,-8.314182,55.116846,1134204,1699.28777904,-8.29166666667,55.125,1
Dcon,-5.36645,55.966939,1113942,1096.9077935,-5.375,55.9583333333,1
Dcon,-10.109623,53.481598,1172188,2783.32097244,-10.125,53.4583333333,1
Dcon,-2.566767,50.618323,1231498,1925.31623606,-2.54166666667,50.625,1
Dcon,-5.48333065,51.73207019,1208371,3155.79102947,-5.45833333333,51.7083333333,1
Dcon,-5.221448,56.150617,1109835,2966.55505782,-5.20833333333,56.125,1
Dcon,-10.065,52.315,1196344,3045.3976174,-10.0416666667,52.2916666667,1
Dcon,-58.733333,48.55,1277687,2065.39762442,-58.7083333333,48.5416666667,1
Dcon,37.416667,65.416667,928229,5032.01982147,37.4583333333,65.4583333333,1
Dcon,11.716667,57.7,1071381,1052.72843427,11.7083333333,57.7083333333,1
Dcon,-69.083333,44.183333,1379904,4337.25091266,-69.0416666667,44.2083333333,1
