Sp,lon,lat,source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Acla,-175.1848,51.8619,Filbee-Dexter et al,1203744,2179.90982971,-175.208333333,51.875,1
Acla,-170.8579,52.3509,Filbee-Dexter et al,1193509,2923.78043546,-170.875,52.375,1
Acla,-169.3972,52.779,Filbee-Dexter et al,1184912,2056.79132702,-169.375,52.7916666667,1
Acla,-167.9203,53.2908,Filbee-Dexter et al,1174628,2538.07064004,-167.958333333,53.2916666667,1
Acla,-66.7388,44.7633,Saunders,1365117,3968.91965659,-66.7083333333,44.7916666667,1
Acla,-66.8732,44.6156,Saunders,1369282,1054.29259761,-66.875,44.625,1
Acla,-59.9604,45.8962,Saunders,1338838,2361.81494748,-59.9583333333,45.875,1
Acla,-53.6481,48.6875,Saunders,1273995,2873.83125933,-53.625,48.7083333333,1
Acla,-64.7572,45.1731,Saunders,1354935,4761.17473356,-64.7916666667,45.2083333333,1
Acla,158.49638,52.61414,Saunders,1189695,2846.05933021,158.458333333,52.625,1
Acla,159.53801,53.22406,Saunders,1177676,1767.18961473,159.541666667,53.2083333333,1
