Sps,decimalLon,decimalLat,Field4,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Goce,12.1,54.18, ,725150,0.0377765370023,12.124992315,54.208327565,1
Goce,25.96108,59.63928, ,594006,0.0145491879148,25.958325095,59.624994015,1
Goce,13.07,54.44, ,719396,0.0337507728918,13.041658945,54.458327555,1
Goce,21.42031,61.3744, ,558846,0.038019914571,21.458325275,61.374993945,1
Goce,12.42,54.5, ,717453,0.0566081587506,12.458325635,54.541660885,1
Goce,22.42112,60.2158, ,581018,0.0379482592889,22.458325235,60.208327325,1
Goce,12.07,54.37, ,721313,0.0287776895282,12.041658985,54.374994225,1
Goce,26.77441,60.41785, ,575955,0.0439990927143,26.791658395,60.458327315,1
Goce,36.11666667,65.13333333, ,501880,0.0117833876439,36.124991355,65.124993795,1
Goce,12.6513,55.5435, ,693573,0.0263719137243,12.624992295,55.541660845,1
Goce,-60.165,65.842, ,491507,0.0518479020971,-60.125004795,65.874993765,1
Goce,22.0595,78.6313, ,110621,0.0189232957409,22.041658585,78.624993255,1
Goce,9.2445,56.6608, ,667172,0.0508982833329,9.208325765,56.624994135,1
Goce,22.4602,58.75245, ,613739,0.03925550808,22.458325235,58.791660715,1
Goce,10.375,55.0597, ,705682,0.0180391366073,10.374992385,55.041660865,1
Goce,13.75,54.6, ,715529,0.0485816424428,13.791658915,54.624994215,1
Goce,11.82,54.15, ,727040,0.0377955135915,11.791658995,54.124994235,1
Goce,13.43,54.69, ,713570,0.0337377864987,13.458325595,54.708327545,1
Goce,-61.78,47.63, ,867281,0.0126994701288,-61.791671395,47.624994495,1
Goce,40.91666667,66.65, ,482496,0.0485869084526,40.958324495,66.624993735,1
Goce,-71.97699738,41.32500076, ,1027805,0.0382059846373,-71.958337655,41.291661415,1
Goce,23.11677,59.02736, ,607659,0.0164957386016,23.124991875,59.041660705,1
Goce,-94.18000031,58.77999878, ,612592,0.0306423793122,-94.208336765,58.791660715,1
Goce,10.3017,56.6082, ,667174,0.0195668992661,10.291659055,56.624994135,1
Goce,15.7085,55.954, ,683457,0.00433101160008,15.708325505,55.958327495,1
Goce,-65.80601556,44.97985204, ,930337,0.025865938138,-65.791671235,44.958327935,1
Goce,14.6133,55.8883, ,685494,0.0177130781247,14.624992215,55.874994165,1
Goce,-73.76699829,40.31700134, ,1055373,0.0353673323309,-73.791670915,40.291661455,1
Goce,11.6942,55.0924, ,703696,0.0355234564674,11.708325665,55.124994195,1
Goce,19.89177,59.59447, ,593933,0.0348312590634,19.874992005,59.624994015,1
Goce,11.3418,55.7745, ,687500,0.0373661079656,11.374992345,55.791660835,1
Goce,10.0566,54.9341, ,707663,0.0284641000358,10.041659065,54.958327535,1
Goce,-68.1939162,49.1761569, ,832018,0.0352554569623,-68.208337805,49.208327765,1
Goce,11.0264,56.4424, ,671225,0.0220572505954,11.041659025,56.458327475,1
Goce,16.5707,57.3516, ,648906,0.0372917572096,16.541658805,57.374994105,1
Goce,12.225,55.4833, ,695588,0.0300276392968,12.208325645,55.458327515,1
Goce,7.7193,55.9387, ,683400,0.0224871313623,7.708325825,55.958327495,1
Goce,10.79,54.03, ,728902,0.0117783319086,10.791659035,54.041660905,1
Goce,-70.71053314,43.07171631, ,979732,0.0301350436534,-70.708337705,43.041661345,1
Goce,-68.469,48.519, ,846937,0.0250441450588,-68.458337795,48.541661125,1
Goce,11.6702,55.7205, ,689522,0.040021693695,11.708325665,55.708327505,1
Goce,14.37,54.76, ,711645,0.0320520407496,14.374992225,54.791660875,1
Goce,-71.37789154,41.83229828, ,1013995,0.0407393215146,-71.375004345,41.791661395,1
Goce,10.7705,55.2971, ,699650,0.0218469462503,10.791659035,55.291660855,1
Goce,-74.61252,62.1188, ,545430,0.0139362910128,-74.625004215,62.124993915,1
Goce,14.2798,55.6738, ,689536,0.0365072868363,14.291658895,55.708327505,1
Goce,-22.70999908,64.04000092, ,516232,0.00234691569283,-22.708339625,64.041660505,1
Goce,9.9437,57.0517, ,657056,0.0177397283549,9.958325735,57.041660785,1
Goce,11.9068,55.9062, ,685481,0.0445593124605,11.874992325,55.874994165,1
Goce,24.43554,58.00844, ,632374,0.0402837583491,24.458325155,58.041660745,1
Goce,13.72,54.23, ,725158,0.0246167911073,13.708325585,54.208327565,1
Goce,16.7211,57.5242, ,644816,0.0216348574955,16.708325465,57.541660765,1
Goce,-68.500277,63.733377, ,520720,0.0483835386888,-68.541671125,63.708327185,1
Goce,-66.08300018,44.48300171, ,942835,0.0481339454771,-66.041671225,44.458327955,1
Goce,35.65,64.96666667, ,503970,0.0263624575563,35.624991375,64.958327135,1
Goce,8.5646,55.0934, ,703671,0.0390445502403,8.541659125,55.124994195,1
Goce,15.983333,54.45, ,719429,0.0263576076039,15.958325495,54.458327555,1
Goce,39.15,66.11666667, ,489131,0.026358654583,39.124991235,66.124993755,1
Goce,16.0972,56.3778, ,673259,0.0279334334056,16.124992155,56.374994145,1
Goce,17.172,60.9695, ,566393,0.0380048324751,17.208325445,60.958327295,1
Goce,16.31872,55.15936, ,703748,0.043741471019,16.291658815,55.124994195,1
Goce,24.0153,60.04226, ,584584,0.0263653179059,24.041658505,60.041660665,1
Goce,21.48365,60.56607, ,574300,0.0351732612625,21.458325275,60.541660645,1
Goce,3.717499971,51.75583267, ,775998,0.0369841978612,3.708325985,51.791660995,1
Goce,-3.2518958,58.98226, ,609475,0.0464225661964,-3.291673735,58.958327375,1
Goce,-62.868,63.746, ,520752,0.0383184890356,-62.875004685,63.708327185,1
Goce,-61.316,58.618, ,616937,0.0253139655812,-61.291671415,58.624994055,1
Goce,17.1992,55.37848, ,697679,0.00976855427696,17.208325445,55.374994185,1
Goce,-61.78900146,47.38899994, ,872979,0.0142576562746,-61.791671395,47.374994505,1
Goce,-66.60278,45.14444, ,926258,0.0295305558969,-66.625004535,45.124994595,1
Goce,14.16932,54.37848, ,721337,0.0391610103077,14.208325565,54.374994225,1
Goce,9.7689,55.3905, ,697610,0.0275391683547,9.791659075,55.374994185,1
Goce,-70.05000305,43.63299942, ,964416,0.0115541437045,-70.041671065,43.624994655,1
Goce,-70.61769867,41.74462128, ,1016290,0.0370212206793,-70.625004375,41.708328065,1
Goce,32.905,67.09916667, ,475931,0.0395922621978,32.874991485,67.124993715,1
Goce,-61.75,56.5, ,668377,0.0589180744865,-61.708338065,56.541660805,1
Goce,-71.3253479,41.50550079, ,1020890,0.0494137901853,-71.291671015,41.541661405,1
Goce,15.6409,56.1463, ,679347,0.0265894326264,15.624992175,56.124994155,1
Goce,-94.255,74.65166667, ,258767,0.0453448828381,-94.291670095,74.624993415,1
Goce,24.7708,59.4463, ,597838,0.0240776503758,24.791658475,59.458327355,1
Goce,-75.575,64.33333333, ,511004,0.0533519392024,-75.541670845,64.374993825,1
Goce,12.0667,55.713, ,689526,0.0254732142015,12.041658985,55.708327505,1
Goce,12.3493,54.916, ,709666,0.0483897691645,12.374992305,54.874994205,1
Goce,-70.56349945,43.31999969, ,973168,0.0357706811362,-70.541671045,43.291661335,1
Goce,12.073,54.8951, ,709662,0.0372357652508,12.041658985,54.874994205,1
Goce,23.35586,59.64964, ,593975,0.0312002056884,23.374991865,59.624994015,1
Goce,-78.8576,70.25059, ,413649,0.0446056793259,-78.875004045,70.291660255,1
Goce,-63.534,59.2922,Tempestini,600775,0.00769025858725,-63.541671325,59.291660695,1
Goce,-63.762,59.452,Tempestini,596907,0.0303384632954,-63.791671315,59.458327355,1
Goce,-93.753,58.85,Tempestini,610549,0.0460443273333,-93.791670115,58.874994045,1
Goce,-65.019,45.55,Tempestini,916180,0.0241561812307,-65.041671265,45.541661245,1
Goce,-71.9622,61.6009,Tempestini,553631,0.0244015452929,-71.958337655,61.624993935,1
Goce,-69.806,47.957,Tempestini,859825,0.0143903156438,-69.791671075,47.958327815,1
Goce,-64.359,45.159,Tempestini,926280,0.0375834483597,-64.375004625,45.124994595,1
Goce,-65.954,58.684,Tempestini,614864,0.0247111107393,-65.958337895,58.708327385,1
Goce,-64.391,49.003,Tempestini,835781,0.0418393721417,-64.375004625,49.041661105,1
Goce,-64.745,49.139,Tempestini,833914,0.0392461734159,-64.708337945,49.124994435,1
Goce,-65.721,49.234,Tempestini,832048,0.0286250292521,-65.708337905,49.208327765,1
Goce,-64.553,46.224,Tempestini,900096,0.0193379154028,-64.541671285,46.208327885,1
Goce,-64.331,45.373,Tempestini,920208,0.0393792509616,-64.291671295,45.374994585,1
Goce,-64.077,45.408,Tempestini,920211,0.0483474312629,-64.041671305,45.374994585,1
Goce,-63.917,44.493,Tempestini,942843,0.0539534881318,-63.958337975,44.458327955,1
