Sps,lon,lat,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mqua,-115.0,68.866667, , ,877520,1917.26666959,-114.958333333,68.875,1
Mqua,-71.966667,61.6, , ,984311,2820.85721637,-71.9583333333,61.625,1
Mqua,-78.066667,72.666667, , ,765898,4723.34065556,-78.0416666667,72.7083333333,1
Mqua,-79.433333,54.766667, , ,1141513,3214.42994465,-79.4583333333,54.7916666667,1
Mqua,-117.0,73.0, , ,753411,4844.33666643,-116.958333333,73.0416666667,1
Mqua,-72.666667,63.983333, , ,947727,3454.29123159,-72.7083333333,63.9583333333,1
Mqua,-131.0,69.55, , ,863440,1872.71308676,-130.958333333,69.5416666667,1
Mqua,-105.855,69.16, , ,872570,3984.40698562,-105.875,69.125,1
Mqua,-85.083333,55.283333, , ,1129445,2805.1691476,-85.0416666667,55.2916666667,1
Mqua,-91.816667,62.583333, , ,967942,4818.23378007,-91.7916666667,62.625,1
Mqua,-113.733333,67.75, , ,896591,4765.62806662,-113.708333333,67.7916666667,1
Mqua,-98.0,79.383333, , ,507313,1265.41395473,-97.9583333333,79.375,1
Mqua,-79.0,72.633333, , ,768855,1671.56819288,-78.9583333333,72.625,1
Mqua,-78.85,54.9, , ,1139555,3212.34411508,-78.875,54.875,1
Mqua,-73.0,66.75, , ,910254,4995.66468548,-72.9583333333,66.7916666667,1
Mqua,-83.666667,65.85, , ,921999,3374.70381588,-83.7083333333,65.875,1
Mqua,-117.441667,69.858333, , ,855329,1966.59901977,-117.458333333,69.875,1
Mqua,-79.783333,54.6, , ,1145411,2834.51847146,-79.7916666667,54.625,1
Mqua,-84.0,73.75, , ,724622,4828.6259648,-83.9583333333,73.7916666667,1
Mqua,-94.333333,72.033333, , ,788896,1709.77463224,-94.2916666667,72.0416666667,1
Mqua,18.62167,60.14667, , ,1013409,2421.43562461,18.625,60.125,1
Mqua,16.767,58.00383, , ,1062962,4459.16021737,16.7916666667,58.0416666667,1
Mqua,18.32158,59.37567, , ,1030369,1702.16694085,18.2916666667,59.375,1
Mqua,21.56983,65.02934, , ,933546,1910.32860532,21.5416666667,65.0416666667,1
Mqua,18.03617,58.9435, , ,1040298,1682.36339661,18.0416666667,58.9583333333,1
Mqua,17.19917,61.45633, , ,988026,537.24068159,17.2083333333,61.4583333333,1
Mqua,18.72485,59.34049, , ,1030374,3957.57527256,18.7083333333,59.375,1
Mqua,17.33865,60.68685, , ,1001760,3110.01702619,17.375,60.7083333333,1
Mqua,17.6545,58.83967, , ,1042323,4287.98153781,17.625,58.875,1
Mqua,19.4315,59.45778, , ,1028454,1522.96873505,19.4583333333,59.4583333333,1
Mqua,21.78333,65.35, , ,929258,2814.31825507,21.7916666667,65.375,1
Mqua,23.0,65.73333, , ,924908,3380.27931779,23.0416666667,65.7083333333,1
Mqua,22.40883,65.394, , ,929265,2638.58867311,22.375,65.375,1
Mqua,19.401149,59.708787, , ,1022707,1472.79601989,19.375,59.7083333333,1
Mqua,16.062695,56.313199, , ,1105949,2728.16557593,16.0416666667,56.2916666667,1
Mqua,18.458897,59.049498, , ,1038283,872.978304193,18.4583333333,59.0416666667,1
Mqua,19.05704,59.882562, , ,1018919,1204.59364165,19.0416666667,59.875,1
Mqua,19.254671,63.466189, , ,956035,2042.22943001,19.2916666667,63.4583333333,1
Mqua,18.46417,61.04367, , ,995543,386.392206201,18.4583333333,61.0416666667,1
Mqua,18.21917,62.54667, , ,970318,788.64491837,18.2083333333,62.5416666667,1
Mqua,18.08688,61.00353, , ,995539,4723.01253967,18.125,61.0416666667,1
Mqua,18.23717,62.861, , ,965077,2142.30628282,18.2083333333,62.875,1
Mqua,16.3755,58.62633, , ,1048450,150.967991985,16.375,58.625,1
Mqua,21.34512,64.66733, , ,937855,4788.63670806,21.375,64.7083333333,1
Mqua,16.8857,58.5646, , ,1050503,2629.34081144,16.875,58.5416666667,1
