Sps,lon,lat,Field4,Field5,Field6,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mtru,4.3,54.8833, , , ,709582,0.011770878917,4.291659295,54.874994205,1
Mtru,1.06897,51.73253, , , ,777711,0.0364913760536,1.041659425,51.708327665,1
Mtru,-2.92402,55.99418, , , ,683276,0.0496315726181,-2.958340415,55.958327495,1
Mtru,-0.88383,50.44617, , , ,804465,0.0150217326384,-0.875007165,50.458327715,1
Mtru,10.622,55.0576, , , ,705685,0.0162175933075,10.624992375,55.041660865,1
Mtru,-78.43333,60.73333, , , ,570186,0.0353624739229,-78.458337395,60.708327305,1
Mtru,-1.71367,50.60224, , , ,800828,0.0233701845298,-1.708340465,50.624994375,1
Mtru,0.46085,53.00167, , , ,750181,0.0400705088249,0.458326115,53.041660945,1
Mtru,-5.79934,54.84455, , , ,709490,0.0313946296426,-5.791673635,54.874994205,1
Mtru,-69.96700287,42.16699982, , , ,1002435,0.0422268486418,-69.958337735,42.208328045,1
Mtru,-4.23823,50.30133, , , ,808095,0.0314146268137,-4.208340365,50.291661055,1
Mtru,10.7917,58.5417, , , ,619815,5.67508312849e-05,10.791659035,58.541660725,1
Mtru,-134.31,70.01, , , ,420087,0.036584374471,-134.291668495,70.041660265,1
Mtru,2.70445765,51.46482648, , , ,783056,0.00756298826976,2.708326025,51.458327675,1
Mtru,-4.498724984,52.22437766, , , ,767408,0.0434571195659,-4.458340355,52.208327645,1
Mtru,-131.3506165,52.36082077, , , ,763302,0.0282053013146,-131.375001945,52.374994305,1
Mtru,1.30451,51.06671, , , ,791924,0.0281529515929,1.291659415,51.041661025,1
Mtru,-3.0,58.05, , , ,632101,0.0424860470781,-2.958340415,58.041660745,1
Mtru,10.8117,55.5322, , , ,693563,0.0221618561101,10.791659035,55.541660845,1
Mtru,-5.51978,56.17053, , , ,677124,0.0436804483003,-5.541673645,56.208327485,1
Mtru,1.1433,53.44251, , , ,741565,0.0241940391641,1.124992755,53.458327595,1
Mtru,4.431964,54.165942, , , ,726974,0.0486998165286,4.458325955,54.124994235,1
Mtru,11.248752,57.251923, , , ,650939,0.0566866625092,11.208325685,57.291660775,1
Mtru,10.5858,55.9232, , , ,683414,0.0526306295147,10.624992375,55.958327495,1
Mtru,9.0747,56.6215, , , ,667170,0.0332251368966,9.041659105,56.624994135,1
Mtru,0.55761,50.74942, , , ,799043,0.0440794386667,0.541659445,50.708327705,1
Mtru,-5.855439,54.199855, , , ,724993,0.0213234521577,-5.875006965,54.208327565,1
Mtru,-3.88,48.7, , , ,843912,0.00970987140173,-3.875007045,48.708327785,1
Mtru,-5.09329,52.63933, , , ,758787,0.034806324277,-5.125006995,52.624994295,1
Mtru,8.2723,56.6533, , , ,667164,0.034292828716,8.291659135,56.624994135,1
Mtru,42.65,66.4525, , , ,484739,0.0256787875951,42.624991095,66.458327075,1
Mtru,-3.2818,47.64677, , , ,867968,0.0239094805643,-3.291673735,47.624994495,1
