Sp,lon,lat,Source,Field5,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Slat,-132.2456055,53.7580986,OBIS, ,1164305,4471.82880508,-132.208333333,53.7916666667,1
Slat,-2.547006674,56.18384101,OBIS, ,1107815,2747.18015308,-2.54166666667,56.2083333333,1
Slat,-2.647702067,56.51761359,OBIS, ,1099735,3020.78999133,-2.625,56.5416666667,1
Slat,-4.61186405,58.5320045,OBIS, ,1050354,1320.48547212,-4.625,58.5416666667,1
Slat,-2.372052,49.42345,OBIS, ,1257802,3885.55059015,-2.375,49.4583333333,1
Slat,-5.346353,49.941873,OBIS, ,1246387,2753.0211434,-5.375,49.9583333333,1
Slat,-5.702335,54.197031,OBIS, ,1155675,1317.53790075,-5.70833333333,54.2083333333,1
Slat,-2.24597,47.13715,OBIS, ,1310088,3158.85190062,-2.20833333333,47.125,1
Slat,-10.327896,51.949598,OBIS, ,1203186,2673.63483719,-10.2916666667,51.9583333333,1
Slat,-6.827309619,56.46855308,OBIS, ,1101746,2474.38178754,-6.79166666667,56.4583333333,1
Slat,-63.0,46.5,OBIS, ,1322910,5628.06556382,-62.9583333333,46.5416666667,1
Slat,1.441416,51.388768,OBIS, ,1215514,1932.22180594,1.45833333333,51.375,1
Slat,-7.508277778,55.09611111,OBIS, ,1134211,3857.91209358,-7.54166666667,55.125,1
Slat,-7.247,43.578,OBIS, ,1398021,5104.48233159,-7.20833333333,43.5416666667,1
Slat,-124.139,49.291,OBIS, ,1260811,1021.11240767,-124.125,49.2916666667,1
Slat,-13.78333333,65.2,OBIS, ,931110,1007.71146058,-13.7916666667,65.2083333333,1
Slat,-4.533037924,54.71444887,OBIS, ,1144078,879.059839456,-4.54166666667,54.7083333333,1
Slat,-61.50023,47.59786,OBIS, ,1297964,4337.14933406,-61.5416666667,47.625,1
Slat,-6.725572,55.177967,OBIS, ,1132200,3554.39699404,-6.70833333333,55.2083333333,1
Slat,-2.966073,56.09899,OBIS, ,1109846,2935.80857513,-2.95833333333,56.125,1
Slat,-3.24988,47.31686,OBIS, ,1306249,4209.10786394,-3.20833333333,47.2916666667,1
Slat,-65.38,44.94,OBIS, ,1361022,2075.25536984,-65.375,44.9583333333,1
Slat,7.887592019,54.15673644,OBIS, ,1157695,3627.09845637,7.875,54.125,1
Slat,-9.7708,53.29388,OBIS, ,1175688,1413.07041921,-9.79166666667,53.2916666667,1
Slat,-56.36000061,47.00600052,OBIS, ,1311382,4125.75940929,-56.375,47.0416666667,1
Slat,-23.73,64.73,OBIS, ,937518,2627.13192561,-23.7083333333,64.7083333333,1
Slat,-68.55891,44.37394,OBIS, ,1375615,1379.33221351,-68.5416666667,44.375,1
Slat,-57.96300125,49.68199921,OBIS, ,1251480,2948.26350412,-57.9583333333,49.7083333333,1
Slat,-70.81798553,42.8992157,OBIS, ,1414846,3443.73128697,-70.7916666667,42.875,1
Slat,-4.75995,54.184098,OBIS, ,1155686,3400.31954177,-4.79166666667,54.2083333333,1
Slat,-123.8050003,48.36199951,OBIS, ,1281265,1750.945182,-123.791666667,48.375,1
Slat,-124.7009964,49.84000015,OBIS, ,1247569,3928.49148433,-124.708333333,49.875,1
Slat,-9.497758,51.521133,OBIS, ,1211849,3564.22112133,-9.45833333333,51.5416666667,1
Slat,-9.010000229,43.22999954,OBIS, ,1406771,3523.32052027,-9.04166666667,43.2083333333,1
Slat,-4.52999,50.322376,OBIS, ,1238771,3515.77285433,-4.54166666667,50.2916666667,1
Slat,-2.728114088,58.89872054,OBIS, ,1042191,2877.98935161,-2.70833333333,58.875,1
Slat,-1.47919,49.69011,OBIS, ,1252140,2524.30293841,-1.45833333333,49.7083333333,1
Slat,-6.148,53.34433,OBIS, ,1173952,3741.10507175,-6.125,53.375,1
Slat,-7.79369,51.94663,OBIS, ,1203189,1309.59722167,-7.79166666667,51.9583333333,1
Slat,-65.80601556,44.97985204,OBIS, ,1361017,2645.78010492,-65.7916666667,44.9583333333,1
Slat,-5.97324,54.920695,OBIS, ,1138198,4297.52910441,-5.95833333333,54.9583333333,1
Slat,-61.69155,47.47823,OBIS, ,1301762,2548.40373975,-61.7083333333,47.4583333333,1
Slat,-58.41400146,49.11399841,OBIS, ,1264664,3098.74680004,-58.375,49.125,1
Slat,-4.061446,58.511565,OBIS, ,1050361,3545.43982563,-4.04166666667,58.5416666667,1
Slat,-53.7519989,48.65499878,OBIS, ,1275846,4435.64448216,-53.7916666667,48.625,1
Slat,-2.4057,46.7322,OBIS, ,1319726,3542.31031605,-2.375,46.7083333333,1
Slat,-0.004883088,53.76301083,OBIS, ,1165003,4006.60064962,-0.0416666666667,53.7916666667,1
Slat,-5.04346,48.47204,OBIS, ,1280113,1529.93149618,-5.04166666667,48.4583333333,1
Slat,-60.49,46.24,OBIS, ,1330813,4284.68752017,-60.4583333333,46.2083333333,1
Slat,-10.608076,51.763934,OBIS, ,1206591,3299.30560216,-10.625,51.7916666667,1
Slat,-62.02658,47.23755,OBIS, ,1307466,3443.29011802,-62.0416666667,47.2083333333,1
Slat,-7.997985329,57.00083763,OBIS, ,1087566,5145.19093415,-7.95833333333,57.0416666667,1
Slat,-3.46588,47.62132,OBIS, ,1298646,699.422891303,-3.45833333333,47.625,1
Slat,-6.130842,57.112755,OBIS, ,1085545,1408.80253416,-6.125,57.125,1
Slat,-2.91672,47.56555,OBIS, ,1300554,4106.23432338,-2.95833333333,47.5416666667,1
Slat,-2.01807,48.60463,OBIS, ,1276452,2856.27160087,-2.04166666667,48.625,1
Slat,-124.8700027,49.69029999,OBIS, ,1251365,2037.86969872,-124.875,49.7083333333,1
Slat,-60.35100174,46.88199997,OBIS, ,1315181,1987.97920911,-60.375,46.875,1
Slat,-1.82291,48.86885,OBIS, ,1270894,2391.85190858,-1.79166666667,48.875,1
Slat,4.754722222,52.97722222,OBIS, ,1182629,3252.683683,4.79166666667,52.9583333333,1
Slat,20.23,74.3,Borum et al, ,704480,1137.51079172,20.2083333333,74.2916666667,1
Slat,-74.083119,40.572878,GBIF, ,1479115,4933.37798183,-74.0416666667,40.5416666667,1
Slat,-18.165969,65.782799,GBIF, ,923515,2120.3382153,-18.125,65.7916666667,1
